LINKEDIN PROFILE NAME,LINKEDIN URL,POSTS LINK,CONTENT,CATEGORY
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_can-fable-get-the-attention-they-need-and-activity-6701497104776392704-6XV7,"Direct-to-Consumer online brands are exciting to watch as they launch particularly given how fast they can grow. We are pleased to share this podcast by Tony Chapman who interviewed Joe Parenteau, the CEO of Fable Home (Techstars 2020) along with Joseph Mimran and Lori Darlington. Yes, Canadian companies can do this too - Tina Luu Max Tims //",Third Party Content
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_oneeleven-acquired-by-ontario-centres-of-activity-6701298834045329408-sQZT,"OMERS is a $110 billion dollar pension fund that determined that running a co-working space in a demolition-slated building that they actually own (Oxford Properties) is not a business worth continuing. So now a government funded agency (OCE) has paid them $3M to take over and run the co-working space instead. I can't help but feel for the privately operated, vibrant co-working spaces such as Workhaus, Make Lemonade Co. Ltd. Spaces. offices | co-working | meeting rooms., East Room StartWell Project Spaces, Clearspace Eureka Building + Eureka Hub even WeWork and Breather ... who are already struggling to survive in this environment and who will now find themselves competing with a huge amount of taxpayer-funded co-working space. Further, I would not categorize OneEleven as an accelerator, but rather as flexible office space for tech companies (similar to WeWork and the others). Equity is not taken in any of the companies, time-limits are not in place and investments are not made as a condition of selection. Companies pay market rent to be there. https://lnkd.in/gU4MHxv cc. Fatima Syed Claudia Krywiak Adrian Joaquin Qasim Virjee Peter Polydor David Skok Mark Goh",Text Only
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_techstars-toronto-accelerator-demo-day-2020-activity-6701108866043789312-xqj0,"We are getting close to the end of another exceptional Toronto class at Techstars. As I state in my welcome, Canada has huge advantages right now both in luring exceptional startups and developing our very own. This 3rd class of Techstars Toronto is a special one. I would love for you to sign up to experience their pitches on September 3rd. I would also be happy to direct introductions from investors and partners to the CEOs. https://lnkd.in/gSTMzJr #demoday #techstars #toronto",Blog Post
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_founder-institute-worlds-premier-idea-stage-activity-6699056799221460993-UlKw,"I am very proud to say that we have passed the legal incorporation stage at Founder Institute Toronto. We have freshly incorporated (or updated the legal documents) for a record 40 companies. Tomorrow is the Hiring and Onboarding session for FI. I can imagine that these 40 companies will soon be creating a lot of new jobs across Toronto, Brampton and the GTA.

Mentor cc. Ilya Brotzky Lidia Bit-Yunan Tom Lowden Eropa Stein
Supporter cc. Tony Sabeta, B.Eng. (Elec.) Mark A. Smith Andrea Baptiste Mike Apted Anna Han Garth Smith Rachel Zimmer Lloyed Lobo Irfhan Rawji John Albright Chevonaé W. Jon Prentice Anthea S. Louie Devin Ramphal (Mister Innovation) Clare Barnett",Blog Post
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_techstars-foundercon-2020-activity-6694234563482386432-gcBl,"This morning we are kicking off Techstars Foundercon 2020. Foundercon is one of the best parts of Techstars - its our private conference and event for our global network of founders, investors and corporate partners. My first real experience with Techstars was attending a Foundercon in Cincinnati, OH several years ago. It was this experience which demonstrated to me how special Techstars really is. It was incredible to see a downtown of an American city taken over by hundreds of people wearing our (then) green t-shirts and Techstars logos. At the time we had about 1200 portfolio companies. Now we have 2300 and counting (!!). While I miss this live event (and meeting the hundreds of VC fund managers and corporate innovation leads who attend it alongside the incredible founders) and visiting cities like Berlin, Oakland, Turin and Boulder, I am happy to get a dose of a virtual Foundercon today. One day we will meet again. Good luck today and tomorrow to David Brown David Cohen Brad Feld John Hill Claudia Reuter Clement Cazalot Dan DeMers Ramzy Ismail Jag Singh Neal Sales-Griffin Natty Zola dave payne Ryan Kuder ethan austin Anna Barber Andrea Perdomo Hilla Ovil-Brenner Jenny Fielding Ted Serbinski Laura Kennedy Stacy Carter Nicole Glaros Kacey Wherley Carlos Almonte",Blog Post
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_future-of-funding-a-chat-with-canadas-top-activity-6694056553408032768-fqo7,"While this panel is taking place tomorrow I really want to draw attention to the current Founder Institute Toronto class. This should make Canadians proud because, 1) it is the largest FI accelerator batch in world history - 600 past cohorts, 200 cities in 65 countries - and this is the biggest one ever, and 2) there is a remarkable level of diversity in the founder profiles with 45 of the 47 founders being either a.) a woman, b.) black, c.) an immigrant or d.) a visible minority.
Tomorrow night's session is on Product Development and our 3 mentors are all Y Combinator or Techstars alum.
Message me for the Zoom link if you want to see a bit of this in action. 630pm EST followed by the Silicon Valley dual program at 9pm EST. Jordan Jocius Lidia Bit-Yunan Ben Stacey",Third Party Content
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_the-first-thing-we-need-to-know-about-the-activity-6691000112778366977-GywE,"This article in today's Globe and Mail should lead to a lot of thought across the way our governments (federal, provincial, regional, local) fund program-delivered innovation in Canada (similar model). It would be interesting to know what percentage of announced funding goes to administer and staff the delivery organization non-profit themselves (and to use these metrics to help measure success and overall impact). As a point of reference, at Techstars we are just 2 people in Toronto (and 6 across 3 accelerators in Canada) and at Founder Institute we have 0 FTEs in Canada. ""In fact, the PM had announced a $912-million program, enough for more than 180,000 volunteers, but that wasn’t going to happen. Bardish Chagger, the minister responsible, testified that WE would have received up to $43.5-million for two batches of 20,000 volunteers, plus a “supplemental cohort” of an unknown number. Let’s say 50,000 in all. That means the charity might have received $43.5-million to administer $250-million in grants."" cc. Campbell Clark",Third Party Content
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_senso-lands-3m-pre-series-a-round-to-strengthen-activity-6687027892100169728-FvqA,"Big congratulations to Saroop Bharwani and Nick Seelert and the team from Senso for this milestone investment. Senso is a Techstars Toronto company from our first class in 2018 and is on the verge of disrupting the mortgage space in profound ways.
There have been stories about the decline in Canadian venture capital outcomes during this pandemic. Not the case here at Techstars Toronto with 6 fundraising announcements (out of just 20 companies) since the pandemic -- Eddy Travels, Inkblot Therapy, Velocia, Doorr, Cinchy and now Senso.ai -- well done to all of these great Canadian (and soon to be Canadian) founders -- Edmundas Eddy Balčikonis Pranas Kiziela Adomas Baltagalvis Luke Vigeant Julie Sabine Arash Zohoor David Winterstein Hamid Akbari Muhammad Rashid Adam A. Hijleh Abbas Ali Karanjot Jaswal Dan DeMers for strong results in 2020. Onwards! More announcements to come from the alumni and the new Techstars 2020 class is as strong as ever. So many jobs being created here. #Canada #Toronto",Third Party Content
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_its-canada-day-and-i-am-particularly-activity-6684294254661033984-O8L3,"Its Canada Day 🇨🇦 and I am particularly proud of what is being accomplished at Founder Institute Toronto. Founder Institute is the Silicon Valley-based pre-accelerator which is a proven feeder program into accelerators like Techstars, YC, Alchemist and many others. The current class in Toronto is enjoying a gap week in recognition of July 1st, but they are working hard and preparing for next week’s Mentor Idea Review (where they present to mentors and require minimum scores to proceed into the next week).

This is the largest and most diverse group of early-stage entrepreneurs ever assembled in the history of FI - which spans 11 years, 65 countries, 200 cities and 600 cohorts (so largest in the world!)

Thank you to all the mentors - many Techstars founders who are giving back to the next generation but also many other prominent and experienced tech and business leaders who have been spending time delivering sessions and hosting countless office hours listening to and helping these founders.

I expect that 40-50 new tech startups will come from this here in Canada by September 2020. More than 200 have been created so far.

Immigrants, women and black founders are the rule, not the exception. It happens organically because, well Canada 🇨🇦",Blog Post
Sunil Sharma,https://www.linkedin.com/in/sunilsharmats/,https://www.linkedin.com/posts/sunilsharmats_collision-showcases-virtual-conference-software-activity-6681911543644381184-L1hF,"Today is the last day for Collision from Home.

For those whose home is here in Canada - its an epic line up of Canadians today starting at 10:30am

Don't miss out on this great Canadian lineup
Sunil Sharma (Techstars) / Armughan Ahmad (KPMG) at 10:35 (Channel 1)
CEOs of RBC and Rogers at 10:45 (Channel 1)
Margaret Atwood at 12:15 (Channel 2)
Kayla Alexander at 1:30 (Channel 3)
Navdeep Bains at 1:45 (Channel 1)
Co-Founder of Borrowell at 2:00 (Channel 2)
CEO of League Inc. at 3:15 (Channel 3)
Canada's Chief Trade Commissioner at 3:20 (Channel 3)
Mary Ng at 3:40 (Channel 3)
Clearbanc's Michele Romanow at 5:15 (Channel 3)
Prime Minister Justin Trudeau at 5:30 (Channel 1)
Closing (Sunil Sharma / Paddy Cosgrave)
#Canada

Channel 1 is free on the website btw. And this is good too...",Blog Post
